distancia mínima de seguridad	DISTANCIA-MÍNIMA-DE-SEGURIDAD
DIU	DIU
doble personalidad	DOBLE-PERSONALIDAD
dolencia	DOLENCIA
dolor	DOLOR
dolor de cabeza	DOLOR-DE-CABEZA
dolor de espalda	DOLOR-DE-ESPALDA
dolor de estómago	DOLOR-DE-ESTÓMAGO
dolor de muelas	DOLOR-DE-MUELAS
dolor de oído	DOLOR-DE-OÍDO
donante de sangre	DONANTE-DE-SANGRE
donar sangre	DONAR-SANGRE
dosis	DOSIS
drag king	DRAG-KING
drag queen	DRAG-QUEEN
drogadicción	DROGADICCIÓN
drogodependiente	DROGODEPENDIENTE
ecolalia	ECOLALIA
ecógrafo	ECÓGRAFO
educación sexual	EDUCACIÓN-SEXUAL
ego	EGO
egocentrismo	EGOCENTRISMO
electrocardiograma	ELECTROCARDIOGRAMA
electroencefalografía	ELECTROENCEFALOGRAFÍA
electroterapia	ELECTROTERAPIA
embarazada	EMBARAZADA
embarazo	EMBARAZO
embarazo durante la adolescencia	EMBARAZO-DURANTE-LA-ADOLESCENCIA
embarazo en la adolescencia	EMBARAZO-EN-LA-ADOLESCENCIA
embriaguez	EMBRIAGUEZ
embrión	EMBRIÓN
emergencia	EMERGENCIA
empaste	EMPASTE
empeorar	EMPEORAR
en buena condición física	EN-BUENA-CONDICIÓN-FÍSICA
enano	ENANO
encargado de ambulancia	ENCARGADO-DE-AMBULANCIA
endoscopia	ENDOSCOPIA
enfermedad	ENFERMEDAD
enfermedad	ENFERMEDAD
enfermedad contagiosa	ENFERMEDAD-CONTAGIOSA
enfermedad crónica	ENFERMEDAD-CRÓNICA
enfermedad de alzheimer	ENFERMEDAD-DE-ALZHEIMER
enfermedad genética	ENFERMEDAD-GENÉTICA
enfermedad infecciosa	ENFERMEDAD-INFECCIOSA
enfermedad mental	ENFERMEDAD-MENTAL
enfermedad terminal	ENFERMEDAD-TERMINAL
enfermera	ENFERMERA
enfermera de salud pública	ENFERMERA-DE-SALUD-PÚBLICA
enfermera de zona	ENFERMERA-DE-ZONA
enfermera jefe	ENFERMERA-JEFE
enfermero domiciliario	ENFERMERO-DOMICILIARIO
enfermería	ENFERMERÍA
enfermería a domicilio	ENFERMERÍA-A-DOMICILIO
enfermo	ENFERMO
enfermo terminal	ENFERMO-TERMINAL
engordar	ENGORDAR
enjuague bucal	ENJUAGUE-BUCAL
ENT	ENT
epidemia	EPIDEMIA
epilepsia	EPILEPSIA
equilibrar	EQUILIBRAR
erótico	ERÓTICO
escara	ESCARA
escayola	ESCAYOLA
escozor	ESCOZOR
esperanza de vida sana	ESPERANZA-DE-VIDA-SANA
esperma	ESPERMA
espray nasal	ESPRAY-NASAL
esquizofrenia	ESQUIZOFRENIA
esquizofrénico	ESQUIZOFRÉNICO
estado de salud	ESTADO-DE-SALUD
estado vegetativo	ESTADO-VEGETATIVO
estereotipo de género	ESTEREOTIPO-DE-GÉNERO
esterilización femenina	ESTERILIZACIÓN-FEMENINA
esterilización masculina	ESTERILIZACIÓN-MASCULINA
estetoscopio	ESTETOSCOPIO
estreñimiento	ESTREÑIMIENTO
estreñir	ESTREÑIR
estrábico	ESTRÁBICO
estrés	ESTRÉS
estrías	ESTRÍAS
estrógeno	ESTRÓGENO
estéril	ESTÉRIL
esófago	ESÓFAGO
etiología	ETIOLOGÍA
etiqueta identificativa en un cadaver	ETIQUETA-IDENTIFICATIVA-EN-UN-CADAVER
ETS	ETS
eutanasia	EUTANASIA
examen físico	EXAMEN-FÍSICO
examen ocular	EXAMEN-OCULAR
examen rectal	EXAMEN-RECTAL
exhibicionista	EXHIBICIONISTA
expediente médico	EXPEDIENTE-MÉDICO
falta de sueño	FALTA-DE-SUEÑO
fantasía	FANTASÍA
farmacia	FARMACIA
farmacología	FARMACOLOGÍA
farmacéutico	FARMACÉUTICO
farmacéutico	FARMACÉUTICO
fatalidad	FATALIDAD
femenino	FEMENINO
femenino	FEMENINO
fertilidad	FERTILIDAD
fertilización	FERTILIZACIÓN
fertilización in vitro	FERTILIZACIÓN-IN-VITRO
feto	FETO
fiebre	FIEBRE
filtro de aire	FILTRO-DE-AIRE
fisiología pulmonar	FISIOLOGÍA-PULMONAR
fisioterapeuta	FISIOTERAPEUTA
fisioterapia	FISIOTERAPIA
fitness	FITNESS
fobia	FOBIA
fobia social	FOBIA-SOCIAL
fractura	FRACTURA
fractura de cadera	FRACTURA-DE-CADERA
frasco de medicinas	FRASCO-DE-MEDICINAS
frecuencia cardiaca	FRECUENCIA-CARDIACA
fuerza	FUERZA
fumadores	FUMADORES
fumar	FUMAR
fumar en pipa	FUMAR-EN-PIPA
fumar tabaco	FUMAR-TABACO
fundamental	FUNDAMENTAL
futuros padres	FUTUROS-PADRES
fármaco	FÁRMACO
fértil	FÉRTIL
gafas	GAFAS
gafas protectoras	GAFAS-PROTECTORAS
gastroenteritis	GASTROENTERITIS
gay	GAY
gel desinfectante	GEL-DESINFECTANTE
gemelos	GEMELOS
geriatría	GERIATRÍA
gerontología	GERONTOLOGÍA
gestación	GESTACIÓN
ginecología	GINECOLOGÍA
ginecólogo	GINECÓLOGO
gordo	GORDO
gotero	GOTERO
grano	GRANO
gripe	GRIPE
gripe	GRIPE
grupo de autoayuda	GRUPO-DE-AUTOAYUDA
grupo objetivo	GRUPO-OBJETIVO
grupo sanguíneo	GRUPO-SANGUÍNEO
gula	GULA
género	GÉNERO
habitación con paredes acolchadas	HABITACIÓN-CON-PAREDES-ACOLCHADAS
hacer dieta	HACER-DIETA
hacerse un esguince	HACERSE-UN-ESGUINCE
hachís	HACHÍS
heces	HECES
hematología	HEMATOLOGÍA
hemofilia	HEMOFILIA
hemorragia	HEMORRAGIA
hemorragia nasal	HEMORRAGIA-NASAL
hemorroide	HEMORROIDE
hepatitis	HEPATITIS
herida	HERIDA
herida	HERIDA
herido	HERIDO
herir	HERIR
herpes	HERPES
heterosexual	HETEROSEXUAL
heterosexualidad	HETEROSEXUALIDAD
hidroterapia	HIDROTERAPIA
hierba	HIERBA
higiene	HIGIENE
higienización	HIGIENIZACIÓN
higiénico	HIGIÉNICO
hilo dental	HILO-DENTAL
hilo dental	HILO-DENTAL
hinchado	HINCHADO
hiperactividad	HIPERACTIVIDAD
hipermétrope	HIPERMÉTROPE
hipertensión	HIPERTENSIÓN
hipnosis	HIPNOSIS
hipnoterapia	HIPNOTERAPIA
hipnotizar	HIPNOTIZAR
hipo	HIPO
historia clínica digital	HISTORIA-CLÍNICA-DIGITAL
historial médico	HISTORIAL-MÉDICO
histérico	HISTÉRICO
histérico	HISTÉRICO
hombre	HOMBRE
homeopatía	HOMEOPATÍA
homofobia	HOMOFOBIA
homosexual	HOMOSEXUAL
homosexualidad	HOMOSEXUALIDAD
hormona	HORMONA
hospicio	HOSPICIO
hospital	HOSPITAL
hospital de enfermería	HOSPITAL-DE-ENFERMERÍA
hospital de rehabilitación	HOSPITAL-DE-REHABILITACIÓN
hospitalización	HOSPITALIZACIÓN
hábito saludable	HÁBITO-SALUDABLE
IC	IC
ictericia	ICTERICIA
identidad de género	IDENTIDAD-DE-GÉNERO
identidad social	IDENTIDAD-SOCIAL
identificación	IDENTIFICACIÓN
igualdad entre los sexos	IGUALDAD-ENTRE-LOS-SEXOS
implante coclear	IMPLANTE-COCLEAR
impotencia	IMPOTENCIA
in vitro	IN-VITRO
incesto	INCESTO
inconsciencia	INCONSCIENCIA
inconsciente	INCONSCIENTE
indemnización para rehabilitación	INDEMNIZACIÓN-PARA-REHABILITACIÓN
indicaciones para mejorar la salud	INDICACIONES-PARA-MEJORAR-LA-SALUD
indigestión	INDIGESTIÓN
indigestión	INDIGESTIÓN
indispuesto	INDISPUESTO
indoloro	INDOLORO
infarto	INFARTO
infeccioso	INFECCIOSO
infección	INFECCIÓN
infección de garganta	INFECCIÓN-DE-GARGANTA
infección de oído	INFECCIÓN-DE-OÍDO
infectar	INFECTAR
inflamación	INFLAMACIÓN
inhalador	INHALADOR
inmunidad	INMUNIDAD
inmunidad de rebaño	INMUNIDAD-DE-REBAÑO
inmunizar	INMUNIZAR
inocular	INOCULAR
instintos del yo	INSTINTOS-DEL-YO
insulina	INSULINA
interiorización	INTERIORIZACIÓN
internamiento psiquiátrico	INTERNAMIENTO-PSIQUIÁTRICO
intervención temprana	INTERVENCIÓN-TEMPRANA
intravenoso	INTRAVENOSO
invalidez	INVALIDEZ
investigación	INVESTIGACIÓN
inyección	INYECCIÓN
inyectar	INYECTAR
irritación de garganta	IRRITACIÓN-DE-GARGANTA
irritado	IRRITADO
jabón	JABÓN
jadeante	JADEANTE
jarabe	JARABE
juego compulsivo	JUEGO-COMPULSIVO
juguete sexual	JUGUETE-SEXUAL
kleenex	KLEENEX
labios mayores	LABIOS-MAYORES
labios vaginales	LABIOS-VAGINALES
latido	LATIDO
latir	LATIR
lavar	LAVAR
lavarse las manos	LAVARSE-LAS-MANOS
leche materna	LECHE-MATERNA
lecho de muerte	LECHO-DE-MUERTE
lentes	LENTES
lentes de contacto	LENTES-DE-CONTACTO
lepra	LEPRA
lesbiana	LESBIANA
lesionado	LESIONADO
lesión en el dedo	LESIÓN-EN-EL-DEDO
LGTB	LGTB
libro de citas	LIBRO-DE-CITAS
ligar	LIGAR
limpieza	LIMPIEZA
limpio	LIMPIO
linimento	LINIMENTO
lisiado	LISIADO
loco	LOCO
lubricante	LUBRICANTE
lubricante vaginal	LUBRICANTE-VAGINAL
luces de emergencia	LUCES-DE-EMERGENCIA
lujuria	LUJURIA
lámpara de hendidura	LÁMPARA-DE-HENDIDURA
maletín de equipo médico	MALETÍN-DE-EQUIPO-MÉDICO
maletín del médico	MALETÍN-DEL-MÉDICO
malformación	MALFORMACIÓN
maligno	MALIGNO
maniobra de heimlich	MANIOBRA-DE-HEIMLICH
maniquí neonatal	MANIQUÍ-NEONATAL
mareado	MAREADO
mareo	MAREO
marihuana	MARIHUANA
martillo de reflejos	MARTILLO-DE-REFLEJOS
masaje	MASAJE
masaje cardiaco	MASAJE-CARDIACO
masculinidad	MASCULINIDAD
masculino	MASCULINO
masturbación femenina	MASTURBACIÓN-FEMENINA
masturbación masculina	MASTURBACIÓN-MASCULINA
maternidad	MATERNIDAD
maternidad	MATERNIDAD
matrona	MATRONA
mecanismo de defensa del yo	MECANISMO-DE-DEFENSA-DEL-YO
medicamento	MEDICAMENTO
medicamento	MEDICAMENTO
